Term,rép,Provenance,Date
était belle,1,test.md,2019-06-20
avait fait faire que,1,test.md,2019-06-20
soir cette,1,test.md,2019-06-20
Rossignol,1,test.md,2019-06-20
le même appétit que si c ’,0,test.md,2019-06-20
’ était que des,0,test.md,2019-06-20
’ après qu ’,0,test.md,2019-06-20
biche,2,test.md,2019-06-20
autres assis,1,test.md,2019-06-20
autres,5,test.md,2019-06-20
par la gloire,1,test.md,2019-06-20
entendit dans,1,test.md,2019-06-20
pour retourner à la Ville,1,test.md,2019-06-20
tout l ’ Eté,0,test.md,2019-06-20
dit-elle,2,test.md,2019-06-20
lieues,3,test.md,2019-06-20
’ étaient pas nécessaires,0,test.md,2019-06-20
heure,4,test.md,2019-06-20
face vermeille,1,test.md,2019-06-20
Reine dit à son Maître d ’ Hôtel,0,test.md,2019-06-20
frappe dans,1,test.md,2019-06-20
les cent ans,1,test.md,2019-06-20
dents,1,test.md,2019-06-20
’ était pas morte,0,test.md,2019-06-20
grommela quelques menaces,1,test.md,2019-06-20
ces paroles,2,test.md,2019-06-20
pourrait donner,1,test.md,2019-06-20
tour,5,test.md,2019-06-20
pèlerinages,1,test.md,2019-06-20
ils,17,test.md,2019-06-20
les enfants,1,test.md,2019-06-20
peine s ’,0,test.md,2019-06-20
demanda ce que,1,test.md,2019-06-20
côtés,2,test.md,2019-06-20
petit agneau,1,test.md,2019-06-20
baguette,1,test.md,2019-06-20
tendres,1,test.md,2019-06-20
hors,2,test.md,2019-06-20
couper la gorge à,2,test.md,2019-06-20
sa femme,6,test.md,2019-06-20
ce qui,5,test.md,2019-06-20
’ elle fit remplir,0,test.md,2019-06-20
l ’ entendait respirer doucement,0,test.md,2019-06-20
revenait,1,test.md,2019-06-20
petit chevreau fort tendre,1,test.md,2019-06-20
fait manger du pain,1,test.md,2019-06-20
vie,21,test.md,2019-06-20
bas à,1,test.md,2019-06-20
préparaient à,1,test.md,2019-06-20
Princesse viendrait à,1,test.md,2019-06-20
le Roi,9,test.md,2019-06-20
rangés,2,test.md,2019-06-20
à la descente du chariot,1,test.md,2019-06-20
vipères,1,test.md,2019-06-20
à sa femme qui le cacha avec la petite Aurore,1,test.md,2019-06-20
agréables,1,test.md,2019-06-20
Maîtres,3,test.md,2019-06-20
son lit,1,test.md,2019-06-20
Elle toucha,1,test.md,2019-06-20
Volons,1,test.md,2019-06-20
